code,water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,distance_to_settlement,establishing_agency,date_source_established,latitude,longitude,gps_precision,permanent,functioning,reason_for_non_functioning,last_intervention_agency,last_intervention_description,last_intervention_date
DWSNCL002,Dug Well,SWALIM_WSIS,2008-10-06,Sanaag,Ceel Afweyn,Ceel Cadde,Kal Daray,,,,9.8048,46.6042,,Yes,Yes,,,,
DWSNCL026,Dug Well,SWALIM_HGS,2012-01-10,Sanaag,Ceel Afweyn,Gar Adag/GAW003B,,,,,9.4946,46.8843,,,,,,,1970-05-19
DWSNCL078,Dug Well,SWALIM_HGS,2012-01-11,Sanaag,Ceel Afweyn,Bukarta,Garadag,,,,9.476083,46.957416,,,Yes,,,,
DWWGGE057,Dug Well,SWALIM_WSIS,2008-08-06,Woqooyi Galbeed,Gebiley,Laas Xadhaadh,Arabsiyo,,,,9.7075,43.7775,,Yes,Yes,,,,
DWSNCL097,Dug Well,SWALIM_HGS,2012-01-10,Sanaag,Ceel Afweyn,Gar Adag/GAW003B,,,,,9.494638,46.884333,,,,,,,1970-05-19
DWSNCR101,Dug Well,SWALIM_WSIS,2008-12-06,Sanaag,Ceerigaabo,Yube,Jidali,,,,10.736,47.9261,,Yes,Yes,,,,
DWSNCR158,Dug Well,SWALIM_HGS,2012-02-17,Sanaag,Ceerigaabo,KArinCEEW032,,,,,10.683,47.359138,,,Yes,,,,
DMGDBA016,Dam,SWALIM_WSIS,2009-09-30,Gedo,Baardheere,Korey,Korey,,,,2.2292,42.2955,,Yes,Yes,,,,2006-08-10
DWTGBC041,Dug Well,SWALIM_WSIS,2008-05-15,Togdheer,Burco,Qoryaale Dug Well 2,Kirir,,,,9.067,45.9707,,Yes,Yes,,,,
DWTGBH027,Dug Well,SWALIM_HGS,2011-12-22,Togdheer,Buhoodle,Shululux/BUUW004,,,,,8.61447,46.69377,,,Yes,,,,2069-05-27
DWWGBE045,Dug Well,SWALIM_HGS,2011-12-12,Woqooyi Galbeed,Berbera,BEEYO DHAADHER,,,,,10.196555,45.782916,,,Yes,,,,
DWWGGE029,Dug Well,SWALIM_WSIS,2008-06-04,Woqooyi Galbeed,Gebiley,Qallax 8,gebiley,,,,9.7162,43.6463,,,,,,,
DWWGHA119,Dug Well,SWALIM_WSIS,2008-05-22,Woqooyi Galbeed,Hargeisa,Faruur Dug Well 2,Dabaragas,,,,10.1075,44.4575,,,,,,,
DWWGHA130,Dug Well,SWALIM_HGS,2012-02-13,Woqooyi Galbeed,Hargeisa,Dacar Budhuq 3,Dacar budug,,,,9.8587,44.5367,,,Yes,,,,
DWWGHA158,Dug Well,SWALIM_WSIS,2008-05-25,Woqooyi Galbeed,Hargeisa,Sheikh Abdaal 4,Madheera,,,,9.9515,44.6894,,Yes,Yes,,GRC - Germany Red Cross,,2007-07-31
DMMDXA003,Dam,GSA/SWALIM,2018-06-06,Mudug,Xarardheere,Abuunahda WC,Jowle,,Private,24-03-05,4.5659,47.5671,,No,Yes,,,,
DMTGBC012,Dam,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Ximan Dam 2,Ximan Village,,,,9.7929,45.4665,,Yes,Yes,,,,
BKAWGE001,Berkad,SWALIM Archives,2004-04-07,Awdal,Gebiley,,,,,,9.7763,43.3587,,,,,,,
BKGLCB046,Berkad,COOPI,2012-12-26,Galgaduud,Cabudwaaq,Angolo,Angolo,,Private,03-02-10,6.3672,46.2891,,Yes,Yes,,,,
BKHRBE017,Berkad,BRCiS,2017-06-01,Hiraan,Belet Weyne,kanecale,kanecale,,,,5.0623,45.3033,,,,,,,
BKHRCB009,Berkad,COOPI,2012-12-30,Hiraan,Cabudwaaq,kaxandale,kaxandale,,Private,03-02-09,5.7528,45.6479,,Yes,Yes,,Private,,2009-03-02
BKTGBC049,Berkad,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Ximan Berkad,Ximan,,,,9.8023,45.4669,,,No,,,,
BKTGBC062,Berkad,SWALIM Archives,2005-02-10,Togdheer,Burco,,,,,,8.8601,45.7345,,,,,,,
TGWGGE001,Others_Togga,SWALIM_WSIS,2012-01-04,Woqooyi Galbeed,Gebiley,Jidhi Gabiley/TOG-06,,,,,9.73903,43.72937,,,Yes,,,,
TGWGGE002,Others_Togga,SWALIM_WSIS,2012-01-04,Woqooyi Galbeed,Gebiley,Golka/TOG-05,,,,,9.71618,43.64613,,,Yes,,,,
TGWGGE003,Others_Togga,SWALIM_WSIS,2012-01-03,Woqooyi Galbeed,Gebiley,Agamsaha/TOG-04,,,,,9.68567,43.73008,,,Yes,,,,
TGWGHA008,Others_Togga,SWALIM_WSIS,2012-02-12,Woqooyi Galbeed,Hargeisa,Dacarbudhuq/T-026,,,,,9.87211,44.52247,,,Yes,,,,
TGWGHA009,Others_Togga,SWALIM_WSIS,2012-02-16,Woqooyi Galbeed,Hargeisa,Rablay/T-030,,,,,9.72745,44.27917,,,Yes,,,,
DWTGOD051,Dug Well,Somaliland_MoWRD,2019-10-21,Togdheer,Owdweyne,Ceel xume Dug Well 5,Ceel xume,,Private,10/21/2015,9.3839,45.1611,19,yes,Yes,,,,
DWBKWA048,Dug Well,SWALIM Archives,,Bakool,Waajid,War biilile,,12.0,,18-04-05,3.5935,43.3632,,No,Yes,,,,2005-06-25
DWBKWA057,Dug Well,SWALIM Archives,,Bakool,Waajid,abagle,,6.0,,27-05-05,3.72779,43.405,,No,Yes,,,,2005-06-16
DWGDLU090,Dug Well,SWALIM Archives,,Gedo,Luuq,Safar Noolay,,1.0,,07-06-05,3.7345,43.0102,,No,Yes,,,,2005-06-26
DWGLCB010,Dug Well,SWALIM_WSIS,2009-07-25,Galgaduud,Cabudwaaq,Dhabbad HDO1,Ballihowd,,,,6.4336,46.4622,,Yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-24,Bakool,xudur,Eel liifow,Bullow,1.0,International Organisation of Migration,24/03/2022,4.1239897,43.8929898,,no,No,Due to shortage of rainy season  the water level went down ,International Organisation of Migration,24-Mar-22,Constructed of 25 miter cubic water tank installation of solar system and submersible pupm fiencing for protection
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-19,Bakool,tayeeglow,Buyow,Goofweyne,7.0,Community,10/07/1992,4.017418,44.512974,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-19,Lower Shabelle,baraawe,Dug well ,Abasiibo,35.0,Juba Water Agency,19/04/2022,1.109428,44.0242851,,yes,Yes,,Somalia Water and Land Information Management,19-Apr-22,Good 1
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-22,Bakool,ceel_barde,HIRRE SH,Celbarde,,not_specified,01/01/2009,4.827558,43.658541,,no,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-19,Lower Shabelle,baraawe,Dug well ,Saqaawi diin ,50.0,AYUUB,19/04/2022,1.1108121,44.0278384,,yes,Yes,,Somalia Water and Land Information Management,19-Apr-22,Good 
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-14,Hiraan,beled_weyne,Hilikilyo,Hilikilyo,12.0,Community,09/12/2005,4.7878325,45.2164478,,yes,Yes,,Community,9-Sep-14,Construction of elevator water tank
,Dug Well,FGS Ministry of Energy and Water Resources,2022-06-09,Lower Juba,afmadow,Biyo Cade,Danwadaag,1.0,United Nations Children's Fund,10/02/2020,0.5198727,42.0767782,,yes,Yes,,International Organisation of Migration,10-Jul-20,renovation
,Dug Well,FGS Ministry of Energy and Water Resources,2022-06-09,Lower Juba,afmadow,Cilaanle,Danwadaag,1.0,International Organisation of Migration,16/06/2017,0.520236,42.076297,,yes,Yes,,International Organisation of Migration,10-Jun-17,ronavation
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-15,Hiraan,beled_weyne,NARUURO WATER SUPPLY,Xiintooy,2.0,Person owner,16/10/2010,4.7374375,45.2179975,,yes,Yes,,Personal,12-May-19,Elevator water tanker
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-31,Lower Juba,kismayo,DALHISKA SHALLOW WELLS,Dalhiska-Farjano Kismayo,12.0,Private,28/01/2005,-0.3403629,42.5688215,,yes,Yes,,,,No
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-15,Hiraan,beled_weyne,Madoobe water supply,Dhagax jibis,1.0,Community,06/11/2011,4.7403153,45.2119971,,yes,Yes,,not_specified,,0
,Dug Well,FGS Ministry of Energy and Water Resources,2022-06-09,Gedo,cel_waq,Celdob ,Celwaaq ,1.0,,09/01/1995,2.7958161,41.0058841,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-06-09,Lower Juba,afmadow,Ceel dheere,Danwadaag,1.0,Community,14/10/2000,0.5207428,42.0759592,,yes,No,"it doesn't have a water reservoir at all after the previous one was broken, and due to the decreased water use due to the rains recently the source which does direct water supply with storage(reservoir) stopped the work.",United Nations Children's Fund,10-Feb-20,installed solar power supply
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-30,Hiraan,bulo_barde,Dab iyo dhagax water supply,Dab iyo dhagax,3.0,Community,28/12/2014,3.8705912,45.566829,,yes,Yes,,Community,26-Dec-15,Solar system
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-30,Hiraan,bulo_barde,Madina water supply ,Madina bulo burte,2.5,Community,26/01/2018,3.8490413,45.5630871,,yes,Yes,,Community,30-Mar-21,Rehabilitation 
,Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Banjinay 1,Banjinay,2.0,WV - WV - World Vision,13-11-18,3.1386,43.6333,,Yes,Yes,,,,
,Dug Well,Somaliland Ministry of Water Resources Development,2022-05-09,Awdal,baki,Baki 6,Baki,,Aamina aw cilmi,,10.0270341,43.3684144,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-05-29,Hiraan,beled_weyne,Furqaan 1,Heegan,,,24/03/2004,4.4357,45.1158,,yes,Yes,,Danish Refugee Council (Regional Office),24-Dec-17,Rehabilitation 
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-24,Middle Shabelle,balcad,Geeloow,Gololey,0.0,Private,11/07/1991,2.4490354,45.3558818,,yes,Yes,,Private,19-Sep-19,Submersible pump 
,Dug Well,Somaliland Ministry of Water Resources Development,2022-04-25,Woqooyi Galbeed,gebiley,Mahfux dug well,Arabsiyo,0.1,Mahfud ,24/10/2021,9.6718388,43.7576423,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-29,Hiraan,bulo_barde,Kuloow water supply,Idhaceel buulo burte,1.0,Community,27/11/2015,3.8573186,45.5667647,,yes,Yes,,Community,30-Mar-21,Generator 
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-25,Bakool,xudur,Usbo Eelow ,Usbo Eelow ,,Community_,21/07/2010,4.12184,43.81921,,no,Yes,,,,
,Dug Well,Somaliland Ministry of Water Resources Development,2022-04-25,Woqooyi Galbeed,gebiley,Kayse Hugur Dug well,Arabsiyo,0.1,Kayse Hugur,21/02/2021,9.6734976,43.7586975,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-14,Hiraan,beled_weyne,Muciin water supply,Ceel muslim,18.0,Community,09/04/2019,4.8474975,45.2344463,,yes,Yes,,Authority,9-Jul-21,Repair
,Dam,FGS Ministry of Energy and Water Resources,2022-06-09,Lower Juba,afmadow,Baldooska bula Abaq,Tubaneey,2.0,International Organisation of Migration,05/03/2022,0.5303774,42.0720834,,no,No,due to the rains and water being available almost everywhere now,International Committee of The Red Cross,20-Oct-20,"digging,troughing and fencing"
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-14,Hiraan,beled_weyne,Kabxanle,Burqaniinyo,30.0,Community,16/11/2017,4.8821069,45.2375023,,yes,Yes,,Community,8-May-19,Dug depth
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-19,Bay,diinsoor,Sofi Barake,Yaqshid,,Private,01/01/1985,2.410383,42.970374,,no,Yes,,,,
,Dug Well,Puntland Ministry of Energy Minerals and Water,2022-03-19,Bari,iskushuban,Xandha dug well,Xandha,0.2,Shilcon,22/07/2004,10.6524476,51.1366167,,yes,Yes,,CARE Somalia,24/11/2019,"1: Pipe line distribution.
2: Construction 3 kiosks and caretaker room and generator room.
3: Rehabilitation of water tank.
4: Supplied Generator 
5: Installation of solar power system.
6: Construction of top cover protection of dug well."
,Dug Well,Puntland Ministry of Energy Minerals and Water,2022-03-28,Nugaal,garowe,Caano yaskax dugwell,Caano-yaskax,0.0,Somalia European Committee for Agricultural Training,28/03/2007,8.837375,48.7501967,,yes,Yes,,Norwegian Refugee Council,28/03/2019,1. Installation of solar power
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-14,Hiraan,beled_weyne,Bacad water distribution ,Bacaad,20.0,Personal owner( shaqsi dhistay),23/08/2008,4.8672164,45.1564395,,yes,Yes,,Community,7-Sep-17,Rehabilitation
,Dam,FGS Ministry of Energy and Water Resources,2022-04-22,Bay,bur_hakaba,Awmalinfoge,Awmalinfoge,,Community_,01/01/1996,2.790586,44.106111,,no,No,,,,
