water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,establishing_agency,date_source_established,latitude,longitude,permanent,functioning,reason_for_non_functioning,management_type,wsc_date_of_establishment,cost_of_water_for_humans,name_of_operator,operator_contact_number,last_intervention_description,last_intervention_date
Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,4.8271,45.5504,,Yes,,,,,,,,
Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Balli Dhiig 1,Bali Dhiig,,,8.3738,45.9116,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Warta Nasiye,Nasiye,,,8.7429,45.6311,,No,,,,,,,,
Dug Well,BRCiS,2017-06-01,Mudug,Hobyo,Toro,Toro,,,6.021,47.7931,,,,,,,,,,
Borehole,SWALIM_WSIS,2008-06-03,Bari,Qardho,Yako,Yako,,,9.2204,49.1246,No,No,,Private,,,,,,
Dug Well,SWALIM_WSIS,2009-09-30,Gedo,Doolow,Lugadiima,Dogob,,,3.8,42.2,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-14,Bari,Bandar Beyla,Bixin,Dur Dura,,,9.0877,50.4305,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-07-19,Nugaal,Eyl,Gabac,Ladege,,,8.1565,50.0373,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-10-30,Gedo,Baardheere,Kurtumaley,Kurtumaley,,,2.395,42.204,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-18,Bari,Iskushuban,Xeela,,,,11.3713,51.0397,,,,,,,,,,
Spring,SWALIM_WSIS,2008-06-19,Togdheer,Sheikh,Iskudarka Spring,Biyooley,,,10.1108,45.2775,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-13,Galgaduud,Ceel Dheer,Bilaal,,,,3.9311,47.4276,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-22,Mudug,Galdogob,Nimco Farm,Hermo,,,7.192,47.5281,Yes,Yes,,,,,,,,
Borehole,SWALIM_WSIS,2008-07-27,Mudug,Galkacyo,Yamayska,,,,6.7962,47.4238,No,No,,,,,,,,
Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Balligubadle 1,,,,9.0128,44.003,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-18,Galgaduud,Ceel Dheer,Ceel Xaji Maxud,,,,3.8411,47.182,,Yes,,,,,,,,
Dam,COOPI,2012-12-18,Galgaduud,Dhusa Marreb,Toon,Labiley,,,5.1185,45.8261,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-07-29,Mudug,Hobyo,Laascagey,Dhidhin,,,6.0122,48.1183,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-27,Awdal,Borama,Camuud 2,Boorame,,,9.9484,43.2329,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-27,Sool,Xudun,Siiga dheer,Xerta xangery,,,9.1603,47.6192,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-31,Bari,Bossaso,Mirqanle 1,Laag,,,11.0667,49.1306,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-16,Awdal,Zeylac,Khadar Iyoiiyaas,Jidhi Town,,,10.573,42.9941,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Nugaal,Burtinle,Hasbahale,Hasbahale,,,7.9638,49.1543,,,,,,,,,,
Berkad,GSA/SWALIM,2016-02-28,Galgaduud,Ceel Bur,Celbur BE,celbur,,,4.6821,46.6185,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-12,Galgaduud,Ceel Dheer,Ceel Qororoe,Ceel Dhooble,,,3.9947,47.4607,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Kuul,Magaalo Kuul,,,9.3855,43.6586,No,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-27,Bari,Bossaso,Conqore 1,Bosaso,,,11.2095,49.2063,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Hiraan,Belet Weyne,Bacda hose,Bacda hose,,,5.1187,45.3887,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-18,Awdal,Borama,Cali Cumer,Dila Town,,,9.7737,43.3444,No,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-13,Togdheer,Sheikh,Bixin Dule 2,Geel Lokoi,,,10.1653,45.1052,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Sanaag,Ceel Afweyn,Fadhigaab,Fadhigaab,,,9.6674,47.0137,,,,,,,,,,
Berkad,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Wisil Berkad SRC,Wisil Village,,,9.5466,45.4005,,,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Aliyow Mareyle,Bulo Barako,,,2.9349,43.3323,,Yes,,Community,,,,,,
Dug Well,SWALIM_WSIS,2009-08-06,Galgaduud,Ceel Dheer,Jeex Dheer,Ceel Dheer,,,3.8106,47.2501,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-26,Bay,Baydhaba,Ceel Busley,Bardale,,,3.1169,43.6585,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-17,Togdheer,Sheikh,Dhadhen Spring,,,,9.9439,45.1906,,,,,,,,,,
Dug Well,BRCiS,2017-06-01,Bakool,Xudur,Buulow/ Hudur,Buulow/ Hudur,,,4.128,43.8885,,,,,,,,,,
Dam,SWALIM_WSIS,2009-08-12,Bay,Baydhaba,Haween,Gumurow,,,3.2514,43.5414,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-17,Sool,Caynabo,Badweyne 2,,,,8.9963,46.6549,Yes,Yes,,,,,,,,
Borehole,SWALIM Archives,1983-03-04,Woqooyi Galbeed,Berbera,WHN (test well),,,,10.1819,44.4361,,,,,,,,,,
Spring,SWALIM_WSIS,2008-07-19,Nugaal,Garoowe,Lasodawoco,Garowe,,,8.2641,48.3499,Yes,Yes,,,,,,,,
Berkad,GSA/SWALIM,2016-02-28,Galgaduud,Ceel Dheer,Bargaan BE,Bargaan,,,4.3661,47.0514,,,,,,,,,,
Dam,SWALIM_WSIS,2009-08-22,Bay,Bur Hakaba,Golole,Golole,,,2.8728,44.0181,Yes,Yes,,,,,,,,
Dug Well,BRCiS,2017-06-01,Mudug,Hobyo,Qaydaro,Qaydaro,,,5.7962,47.4883,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-07-22,Mudug,Hobyo,Dhurre 1,Jalable,,,6.368,47.9509,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-03,Sool,Taleex,Kubo 4,,,,9.5022,49.0603,,,,,,,,,,
Dam,SWALIM_WSIS,2009-10-15,Bay,Diinsoor,Sheikh Idiris,Balannaal,,,2.5208,42.681,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-30,Awdal,Baki,Ruqi Dug Well,Ruqi  Town,,,9.9737,43.4266,,Abandoned,,,,,,,,
Spring,SWALIM_WSIS,2008-07-12,Bari,Bandar Beyla,Kulule,Kulule,,,9.1574,50.6463,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-14,Woqooyi Galbeed,Berbera,Lascudle Dug Well 2,Lascudle,,,10.1669,45.989,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-29,Bari,Bossaso,Ahmed,,,,11.282,49.1745,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-17,Bari,Iskushuban,Yaguudaan,Xeelo,,,11.4457,51.0478,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-10,Bari,Caluula,Afkaleheye,,,,11.9042,50.5933,Yes,Yes,,,,,,,,
Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,5.0389,45.2868,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-10-17,Gedo,Garbahaarey,Washaaqbar,B/DHUBO,,,3.204,42.3945,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-28,Bari,Bossaso,Cali Saanle,,,,11.282,49.2047,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2008-06-15,Woqooyi Galbeed,Gebiley,Community,Idhanka Deerayahan,,,9.5819,43.4849,No,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-07-01,Togdheer,Owdweyne,Ceelsame 1,,,,9.3334,45.1624,,,,,,,,,,
Dug Well,SWALIM Archives,2004-07-01,Togdheer,Owdweyne,Ceelsame 3,,,,9.3339,45.161,,,,,,,,,,
Borehole,SWALIM_WSIS,2009-07-25,Bay,Baydhaba,Hawal Barbar,,,,2.7415,43.1645,,No,,,,,,,,
Dam,SWALIM_WSIS,2008-06-29,Woqooyi Galbeed,Hargeisa,Qool Bulaale,Lubaax Qawdhama,,,9.8693,44.3979,,,,,,,,,,
Dam,SWALIM_WSIS,2009-09-29,Middle Juba,Saakow,Canda Dahe,,,,1.864,42.192,,No,,,,,,,,
Dam,SWALIM_WSIS,2008-06-14,Sool,Caynabo,God Dhuub,Oog,,,8.9421,46.7507,Yes,Yes,,,,,,,,
Borehole,SCF,2005-02-22,Hiraan,Belet Weyne,Sabad-Caano,,,,4.8012,45.2437,,Yes,,,,,,,,
Borehole,SCF,2005-02-22,Hiraan,Belet Weyne,Belet Salama,,,,4.8908,45.0393,,No,,,,,,,,
Dam,SWALIM_WSIS,2008-07-06,Woqooyi Galbeed,Gebiley,Xaaji Muuse dam,Aley Badey,,,9.3876,43.512,No,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-29,Bari,Bossaso,Said Mohamed,,,,11.2853,49.1785,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-10,Bay,Diinsoor,Baraagle 2,Towfiiq,,,2.354,42.7,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-09-06,Sanaag,Ceerigaabo,Ceeldheere,Biyo gaduud,,,10.4191,47.6503,,,,,,,,,,
Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,4.7245,44.7016,,No,,,,,,,,
Spring,SWALIM_WSIS,2008-05-28,Bari,Bossaso,Hays 3,Qaw,,,11.1844,48.9521,Yes,Yes,,,,,,,,
Dug Well,BRCiS,2017-06-01,Lower Shabelle,Afgooye,Mordile,Mordile,,,2.1504,45.1167,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-28,Bari,Bossaso,Kontorol,,,,11.212,49.1879,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-24,Woqooyi Galbeed,Hargeisa,Ballig Adan Abokor,Adan abokor,,,9.0412,44.1031,Yes,Yes,,,,,,,,
Borehole,SWALIM_WSIS,2008-08-02,Nugaal,Garoowe,Garowe BH6,Garowe,,,8.4061,48.4799,,Abandoned,,,,,,,,
Spring,SWALIM_WSIS,2008-05-27,Bari,Bossaso,Conqore 2,,,,11.2095,49.2068,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-02-08,Mudug,Hobyo,Lulubsho,,,,5.5745,48.0804,,,,,,,,,,
Borehole,,,Bay,Baydhaba,Madhawey,Iriwirka,,,3.1677,43.56,,Abandoned,,Community,,,,,,
Borehole,,,Bay,Baydhaba,Gududo Dhunti,Bulo Sokor,,,2.8035,43.1861,Yes,Yes,,Community,,,,,,
Dug Well,,2022-03-19,,,,,,,0.0,0.0,,,,,,,,,,
Dam,,2022-04-18,,,,,,,0.0,0.0,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-16,Galgaduud,Ceel Dheer,Waxweyn,,,,4.326,47.8157,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-29,Bari,Bossaso,Ibrahim,,,,11.2846,49.1704,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-17,Awdal,Zeylac,Galiisha,Habaas,,,10.4185,42.8112,Yes,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-15,Galgaduud,Ceel Dheer,Xulcaduur,Xananley,,,4.0344,47.3298,,No,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-15,Galgaduud,Ceel Dheer,Xalanley 2,,,,4.1197,47.4437,,Abandoned,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Wardile,Awdinle,,,3.1592,43.3961,,Yes,,Community,,,,,,
Dug Well,SWALIM_WSIS,2009-02-09,Mudug,Hobyo,Garday,Afgadud,,,5.7653,48.1223,,Yes,,,,,,,,
Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,4.798,45.798,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-14,Sool,Laas Caanood,Ceel quule,Canjiid,,,8.6069,47.3028,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-22,Nugaal,Eyl,Biyo Cado,Eyl,,,8.2409,49.827,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-08-10,Bay,Baydhaba,Iriwarka bulo Barako,Gorisano,,,2.9175,43.3691,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-18,Awdal,Borama,Biyo Cad,Gorayo Cawl,,,9.988,43.2354,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-25,Sool,Xudun,Sufuraweyne,Dhaban,,,9.3018,47.5605,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-06-10,Middle Juba,Saakow,Qududey,,,,1.89,42.5,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-31,Awdal,Borama,Abase Gaagaab 1,,,,10.1279,43.2052,,Abandoned,,,,,,,,
Borehole,SWALIM_WSIS,2008-06-03,Bari,Qardho,Koleejo BH2,,,,9.5054,49.0919,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-03,Sool,Taleex,Kubo 2,,,,9.502,49.0614,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-03,Woqooyi Galbeed,Gebiley,Hadhley 1,Hadhley,,,9.8377,43.6323,,,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Caafi BH4,Beyhawa,Caafi industry,1/1/2016,3.1453,43.6561,,No,,Private,,,,,,
Borehole,SWALIM_WSIS,2008-06-04,Bari,Qardho,Rako BH1,Gardo,,,9.7332,49.5024,,,,,,,,,,
Spring,SWALIM_WSIS,2008-06-21,Togdheer,Sheikh,Qaradh Spring,Qaradh,,,10.0629,45.7053,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-01,Bari,Bossaso,Gaaca,Bossaso,,,11.0982,49.3296,,,,,,,,,,
Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,4.8338,45.4056,,Yes,,,,,,,,
Dam,SWALIM_WSIS,2008-06-19,Togdheer,Burco,Geeddi Haan Dam,Geeddi Haan,,,9.0264,45.6576,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-29,Bari,Bossaso,Xerolaspu,,,,11.2821,49.1752,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-03,Bari,Bossaso,Ceeldaahir,Carmo,,,10.6401,49.05,,,,,,,,,,
Dug Well,BRCiS,2017-06-01,Lower Shabelle,Afgooye,Anoole,Anoole,,,2.1504,45.1167,,,,,,,,,,
Dam,SWALIM_WSIS,2009-09-28,Bay,Diinsoor,Abarey,El-Beto,,,2.0208,42.568,Yes,Yes,,,,,,,,
Dug Well,SWALIM_GSA,2016-02-26,Mudug,Xarardheere,Ceel Qalow SH,Ceel Qalow,,,4.4252,47.7076,,,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Shati,Bakin,,,3.132,43.6716,,Yes,,Private,,,,,,
Dug Well,SWALIM_WSIS,2008-05-19,Awdal,Borama,AF Doox 3,Boon,,,10.2023,43.0466,No,No,,,,,,,,
Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,4.6274,45.4511,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-15,Galgaduud,Ceel Dheer,Bur Bur,,,,4.3025,47.596,,Yes,,,,,,,,
Borehole,SCF,2005-02-22,Hiraan,Belet Weyne,Ceel Cade,,,,4.729,44.7163,,No,,,,,,,,
Dug Well,SWALIM_WSIS,2009-07-28,Mudug,Hobyo,Galqurun,Biriqoday,,,6.1321,47.6768,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-19,Woqooyi Galbeed,Gebiley,Daheeye,Kala Baydh,,,9.625,43.4422,No,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-29,Bari,Bossaso,Said Ahmed,Laanta Hawada,,,11.2816,49.1691,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2008-06-16,Woqooyi Galbeed,Gebiley,Kooshin,Wajaale Town,,,9.6013,43.3329,No,Yes,,,,,,,,
Borehole,,,Bay,Baydhaba,Hawal Barbar,,,,2.7415,43.1645,,No,,,,,,,,
Dug Well,,2022-03-24,Bakool,xudur,Saweeda shallow well,Bullow ,,25/03/2022,0.0,0.0,,,,,,,,,,
Dam,,2022-03-19,,,,,,,0.0,0.0,,,,,,,,,,
Spring,SWALIM_WSIS,2008-06-01,Bari,Bossaso,Badowle,Karin,,,10.9717,49.2085,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-05-10,Bay,Diinsoor,Garasdulun,Garasdulun,,,2.3541,42.7727,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-29,Awdal,Borama,IL Gorey 4,Baki,,,10.0649,43.3308,Yes,Yes,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Bayhawa BH5,Behanooy,Warjanay company,1/1/2015,3.1433,43.654,,Yes,,Private,,,,,,
Borehole,SCF,2005-02-22,Hiraan,Belet Weyne,Ceel-biyooley,,,,4.7791,44.7163,,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-01,Awdal,Borama,Biyoxumo,Xoorey,,,10.174,43.3446,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-26,Bari,Bossaso,Shimis 1,Qaw,,,11.1866,48.9782,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-01,Awdal,Borama,Mareegaley,Xoorey,,,10.1672,43.353,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-08-24,Bay,Bur Hakaba,Hiska,Wadajir,,,2.7908,44.0749,Yes,No,,,,,,,,
Dam,SWALIM_WSIS,2008-06-16,Awdal,Borama,Magaalo Cad 2,Magaalo Cad,,,9.6949,43.2988,No,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-10-19,Gedo,Garbahaarey,Wartoosi,Garsal,,,2.81,42.5,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-22,Woqooyi Galbeed,Hargeisa,Dacar Budhuq 1,,,,9.8591,44.5363,,,,,,,,,,
Berkad,BRCiS,2017-06-01,Bari,Iskushuban,Iskushuban,Iskushuban,,,10.2891,50.2358,,,,,,,,,,
Berkad,SWALIM_WSIS,2008-06-19,Togdheer,Burco,Suryo Qansax,Suryo Qansax,,,9.3338,45.5214,Yes,Yes,,,,,,,,
Dam,COOPI,2012-12-24,Galgaduud,Cabudwaaq,Dhabad,Dhabad,,,6.4256,46.4684,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-09-06,Sool,Xudun,Shoodhe Dug Well,Dogoble,,,9.4098,47.432,No,No,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-09,Galgaduud,Ceel Dheer,Cali Afrax,,,,4.128,46.6705,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-03,Sool,Taleex,Kubo 8,,,,9.5025,49.0622,,,,,,,,,,
Borehole,SCF,2005-02-22,Hiraan,Belet Weyne,Baadikeen,,,,4.8161,44.6415,,Yes,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Bayhawa BH3,Behanooy,Warjanay company,1/1/2015,3.1454,43.6538,Yes,Yes,,Private,,,,,,
Dam,COOPI,2012-12-19,Hiraan,Mataban,Dhugile,Dugile,,,5.4514,45.4319,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-24,Nugaal,Eyl,Ilig,Dhanaane,,,7.8072,49.8128,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-07-09,Bari,Bandar Beyla,AF Jaan,Dhuur,,,9.2303,50.6661,Yes,Yes,,,,,,,,
Berkad,GSA/SWALIM,2016-02-28,Galgaduud,Ceel Dheer,Cowsweyne BE,Cosweyne,,,4.1635,46.9133,,,,,,,,,,
Berkad,BRCiS,2017-06-01,Hiraan,Belet Weyne,Jiracle,Jiracle,,,5.0397,45.2901,,,,,,,,,,
Berkad,BRCiS,2017-06-01,Nugaal,Eyl,Qarxis,Qarxis,,,8.5002,49.5774,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-15,Togdheer,Burco,Qoryaale Dug Well 6,Kirir,,,9.069,45.9715,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-04-09,Mudug,Hobyo,Habyo,,,,5.3461,48.5236,,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-01,Awdal,Borama,Hadiile 1,Xamar,,,10.107,43.3326,Yes,Yes,,,,,,,,
Borehole,SCF,2005-02-22,Hiraan,Belet Weyne,Eel Idaad,,,,4.684,44.8929,,No,,,,,,,,
Borehole,SWALIM_WSIS,2008-08-06,Sanaag,Ceerigaabo,Carmaale BH3,Biyo guduud,,,10.4686,47.9518,No,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-30,Awdal,Baki,Qabuurta,Qabuurta,,,10.0476,43.4891,No,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-28,Bari,Bossaso,Las Gal,Qaw,,,11.2479,49.0384,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-15,Togdheer,Buhoodle,Hadhwanag,Hufiiro,,,8.7142,46.7319,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-10-14,Gedo,Baardheere,Takar,Takar,,,2.395,42.136,Yes,,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Quralow,Daniya,,,3.0269,43.2436,Yes,Yes,,Community,,,,,,
Dug Well,BRCiS,2017-06-01,Mudug,Hobyo,Budbud,Budbud,,,6.1808,48.6874,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-07-25,Bakool,Xudur,Godle,,,,4.0208,44.25,Yes,Yes,,,,,,,,2007-01-25
Dug Well,SWALIM_WSIS,2008-06-02,Awdal,Baki,Carro Weyne 1,Carro Weyne,,,10.2802,43.4124,No,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-26,Mudug,Jariban,Buq 1,Jiifle,,,7.3578,49.6135,No,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-16,Awdal,Lughaye,Hussein,wadajir,,,10.5602,43.2502,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-03,Sool,Taleex,Kubo 3,,,,9.5014,49.0604,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-07-28,Bay,Diinsoor,Oofko ANN,Waryaroy,,,2.434,42.9822,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-08-17,Bakool,Waajid,Bakaar Weyn,,,,3.6875,43.4777,No,No,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-31,Awdal,Borama,Abokor Cadaawe 2,Baki,,,10.0342,43.3433,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-20,Awdal,Borama,Fadhi Xun 3,Weeraar,,,10.292,43.296,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-12-06,Woqooyi Galbeed,Gebiley,Yanuunta 3,gebiley,,,9.7214,43.6579,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-16,Awdal,Zeylac,Buqdhada Jidhi,Buqdhada madow,,,10.5807,43.0316,Yes,,,,,,,,,
Spring,SWALIM_WSIS,2008-05-28,Sanaag,Ceerigaabo,Xurba Spring,Maydh,,,10.9579,47.2315,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Sanaag,Ceerigaabo,Dararweyne,Dararweyne,,,9.7568,47.5305,,,,,,,,,,
Berkad,BRCiS,2017-06-01,Sanaag,Ceel Afweyn,Huluul,Huluul,,,9.967,46.7018,,,,,,,,,,
Spring,SWALIM_WSIS,2008-06-01,Awdal,Borama,Cadeyga Hagoogan,Xoorey,,,10.1729,43.3407,No,Yes,,,,,,,,
Dug Well,BRCiS,2017-06-01,Bakool,Xudur,Gubad galool,Gubad galool,,,4.3564,43.9301,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-27,Sool,Xudun,Gorofley 1,Godaalo,,,9.1335,47.7564,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Mudug,Hobyo,Qararow,Qararow,,,5.2262,48.2502,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-10-28,Gedo,Baardheere,Reydab 1,Reydab,,,2.68,42.15,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-15,Bari,Bossaso,Dibir Ufayn,Ufayn,,,10.7529,49.733,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-09,Galgaduud,Ceel Dheer,Cali Afrax1,,,,4.1265,46.6694,,No,,,,,,,,
Spring,SWALIM_WSIS,2008-06-01,Awdal,Borama,Hadiile 2,Xamar,,,10.1067,43.332,Yes,Yes,,,,,,,,
Borehole,SWALIM_WSIS,2008-06-05,Bari,Qardho,Jeded BH2,Libaaxar,,,9.4043,49.5881,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-29,Bari,Bossaso,Mako,,,,11.2841,49.1747,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-18,Togdheer,Sheikh,Lahelow Dug Well 5,Iskuban,,,9.9293,44.9961,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-29,Woqooyi Galbeed,Hargeisa,Qoton Weyn,,,,9.1067,44.4835,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-10-21,Gedo,Luuq,Malmaley4,Banaaney,,,3.9,42.9,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-07-25,Galgaduud,Cabudwaaq,Dhabbad HDO 5,Ballihowd,,,6.4331,46.4632,,No,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-09,Galgaduud,Ceel Dheer,Ceel Dhaabab,,,,4.198,46.5143,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-19,Galgaduud,Ceel Dheer,Shiilmadow,,,,3.7016,47.2186,,,,,,,,,,
Berkad,SWALIM_WSIS,2008-06-18,Togdheer,Owdweyne,Deriq Maraa Berkad,Deriq Maraa,,,9.8104,44.8223,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-04-09,Mudug,Hobyo,Guroley,Wisil,,,5.4364,48.0425,,Yes,,,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Nafis 1,Cadada,,,3.1286,43.6603,,Yes,,Other,,,,,,
Dug Well,SWALIM_WSIS,2008-08-03,Nugaal,Garoowe,Garowe 3,,,,8.4027,48.4899,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-01-10,Middle Juba,Saakow,Yuub buule,,,,1.723,42.2862,,Yes,,,,,,,,
