water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,establishing_agency,date_source_established,latitude,longitude,permanent,functioning,reason_for_non_functioning,management_type,wsc_date_of_establishment,cost_of_water_for_humans,name_of_operator,operator_contact_number,last_intervention_description,last_intervention_date
Borehole,FGS Ministry of Energy and Water Resources,2022-04-25,Bakool,xudur,Korkoor,Korkoor ,,,3.9375,44.068182,yes,Yes,,Communal,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-17,Middle Shabelle,balcad,Warjirow,Warjirow,,18/10/2020,2.2167048,45.4276695,yes,Yes,,Private/Individual,,,,,,
Borehole,Puntland Ministry of Energy Minerals and Water,2022-04-09,Bari,bossaso,Jiingada borehole,Jiingada,Aquatera,01/01/1987,10.7199,49.144387,yes,Yes,,Communal,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-20,Middle Shabelle,balcad,Mukadhere ,Mukadhere ,General Service Agency,15/06/2017,2.4327,45.46237,yes,Yes,,Communal,18-May-20,,,,18-Jun-21,"Construction of 30m3 of elevated water tank, generator room, animal water troughs, water kiosks, fence and gate and supply of generator. "
Borehole,FGS Ministry of Energy and Water Resources,2022-03-20,Middle Shabelle,balcad,Moallim Ali Mudey,Mareerey,Qatar Charity,20/12/2020,2.3788558,45.4060195,yes,Yes,,Private/Individual,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-15,Middle Shabelle,balcad,Ceelka isbitaalka,Waabari,Qatar Charity,13/10/2017,2.355603,45.3876871,yes,Yes,,Other,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-19,Awdal,borama,Shifo 1,Darey macaane,Shifo,10/04/2021,9.9699176,43.2192725,yes,Yes,,Private/Individual,,,,,,
Borehole,Somaliland Ministry of Water Resources Development,2022-05-19,Awdal,borama,Shifo BH,Darey macaan,Shifo,,9.971141,43.219051,yes,Yes,,Private/Individual,,,,,,
Borehole,FGS Ministry of Energy and Water Resources,2022-03-22,Hiraan,beled_weyne,Jawiil water community,Jawiil,Community,21/03/2015,4.9177633,45.2209121,yes,Yes,,Communal,10-Sep-11,,,,22-Mar-17,Rehabilitation
Borehole,FGS Ministry of Energy and Water Resources,2022-03-30,Hiraan,bulo_barde,Degmada buloburte water supply ,Degmada buloburte,Italian Government,26/10/1946,3.8536332,45.5685839,yes,Yes,,Utility/Local Authority,,,,,26-Nov-17,Repair generator 
Borehole,FGS Ministry of Energy and Water Resources,2022-03-22,Hiraan,beled_weyne,Takaraale water community ,Takaraale,Community,18/11/2019,5.202046,45288130,yes,Yes,,Utility/Local Authority,,,,,21-Feb-21,Elevator water tanker 
Borehole,FGS Ministry of Energy and Water Resources,2022-03-27,Gedo,luuq,River Juba ,Banmudule,International Organisation of Migration,22/01/2016,3.75823164,42.554493,no,Yes,,Communal,21-Jul-19,,,,18-Jul-19,Rehabilitation 
Borehole,FGS Ministry of Energy and Water Resources,2022-03-24,Bay,qansax_dheere,EEL HINDIA,Garsoor,Former Somali Government,24/03/1997,2.8738028,43.0070127,yes,Yes,,,,,,,,
Borehole,Puntland Ministry of Energy Minerals and Water,2022-03-26,Nugaal,garowe,Iskufaruuran BH ,Isku faruuran,Community,26/03/2022,8.4692287,48.6500911,yes,Yes,,Communal,,,,,,No
Borehole,FGS Ministry of Energy and Water Resources,2022-03-15,Middle Shabelle,balcad,Imamu Nawawi,Waabari,Qatar Charity,11/12/2018,2.355822,45.3872438,yes,Yes,,Other,,,,,,No intervention since drilled
Borehole,Puntland Ministry of Energy Minerals and Water,2022-03-28,Nugaal,garowe,Salaama 2,Salaama 2,Community,28/03/2017,8.5915196,49.0676655,yes,Yes,,Private/Individual,,,,,17/04/2020,1. Solar installation 
